Pking_Entrez_geneID	Pking_gene_name	Pking_gene_symbol	type_of_gene
111832864	uncharacterized LOC111832864	LOC111832864	ncRNA
111832867	uncharacterized LOC111832867	LOC111832867	ncRNA
111832868	uncharacterized LOC111832868	LOC111832868	ncRNA
111832870	uncharacterized LOC111832870	LOC111832870	ncRNA
111832871	rho guanine nucleotide exchange factor 10-like protein	LOC111832871	protein-coding
111832873	protein-S-isoprenylcysteine O-methyltransferase-like	LOC111832873	protein-coding
111832874	60S ribosomal protein L22	LOC111832874	protein-coding
111832875	cadherin-4-like	LOC111832875	protein-coding
111832876	protein dopey-1-like	LOC111832876	protein-coding
111832877	growth factor receptor-bound protein 7-like	LOC111832877	protein-coding
111832878	protein FAM171A2-like	LOC111832878	protein-coding
111832879	solute carrier family 25 member 39-like	LOC111832879	protein-coding
111832880	uncharacterized LOC111832880	LOC111832880	ncRNA
111832881	granulins-like	LOC111832881	protein-coding
111832882	mitogen-activated protein kinase kinase kinase 14-like	LOC111832882	protein-coding
111832883	interferon-induced 35 kDa protein homolog	LOC111832883	protein-coding
111832884	G patch domain-containing protein 8-like	LOC111832884	protein-coding
111832885	ubiquitin-conjugating enzyme E2 K-like	LOC111832885	protein-coding
111832887	protein Wnt-9b-like	LOC111832887	protein-coding
111832888	ADP-ribosylation factor 1-like	LOC111832888	protein-coding
111832889	SRC kinase signaling inhibitor 1-like	LOC111832889	protein-coding
111832891	GATA-binding factor 2-like	LOC111832891	protein-coding
111832892	methyltransferase-like protein 7A	LOC111832892	protein-coding
111832894	hedgehog-interacting protein-like	LOC111832894	protein-coding
111832898	methyltransferase-like protein 7A	LOC111832898	protein-coding
111832899	sodium channel protein type 8 subunit alpha-like	LOC111832899	protein-coding
111832903	zinc finger BED domain-containing protein 1-like	LOC111832903	protein-coding
111832905	uncharacterized LOC111832905	LOC111832905	ncRNA
111832908	Krueppel-like factor 3	LOC111832908	protein-coding
111832910	beta-1,3-N-acetylglucosaminyltransferase radical fringe-like	LOC111832910	protein-coding
111832916	THO complex subunit 4-like	LOC111832916	protein-coding
111832917	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5	LOC111832917	protein-coding
111832920	platelet endothelial cell adhesion molecule-like	LOC111832920	protein-coding
111832926	putative olfactory receptor 7A2	LOC111832926	protein-coding
111832927	uncharacterized LOC111832927	LOC111832927	ncRNA
111832928	B-cadherin-like	LOC111832928	protein-coding
111832932	kelch-like protein 5	LOC111832932	protein-coding
111832934	copine-7-like	LOC111832934	protein-coding
111832936	endothelin receptor type B-like	LOC111832936	protein-coding
111832938	cytochrome b5-like	LOC111832938	protein-coding
111832940	uncharacterized LOC111832940	LOC111832940	ncRNA
111832945	B-cadherin-like	LOC111832945	protein-coding
111832946	rho-related GTP-binding protein RhoH-like	LOC111832946	protein-coding
111832954	cadherin-1-like	LOC111832954	protein-coding
111832955	putative methyltransferase NSUN7	LOC111832955	protein-coding
111832963	uncharacterized LOC111832963	LOC111832963	ncRNA
111832964	uncharacterized LOC111832964	LOC111832964	ncRNA
111832965	uncharacterized LOC111832965	LOC111832965	ncRNA
111832966	uncharacterized LOC111832966	LOC111832966	ncRNA
111832967	ubiquitin carboxyl-terminal hydrolase 10-like	LOC111832967	protein-coding
111832971	uncharacterized LOC111832971	LOC111832971	protein-coding
111832972	uncharacterized LOC111832972	LOC111832972	ncRNA
111832973	F-actin-monooxygenase MICAL2-like	LOC111832973	protein-coding
111832976	adenosine receptor A3-like	LOC111832976	protein-coding
111832977	aryl hydrocarbon receptor nuclear translocator-like protein 1	LOC111832977	protein-coding
111832978	eukaryotic translation initiation factor 4 gamma 2-like	LOC111832978	protein-coding
111832979	43 kDa receptor-associated protein of the synapse-like	LOC111832979	protein-coding
111832980	spermatogenesis-associated protein 2-like protein	LOC111832980	protein-coding
111832983	uncharacterized LOC111832983	LOC111832983	ncRNA
111832984	uncharacterized LOC111832984	LOC111832984	ncRNA
111832988	sulfotransferase 1A3-like	LOC111832988	protein-coding
111832989	uncharacterized LOC111832989	LOC111832989	ncRNA
111832994	polypeptide N-acetylgalactosaminyltransferase 18-like	LOC111832994	protein-coding
111832997	uncharacterized LOC111832997	LOC111832997	ncRNA
111832998	cadherin-5-like	LOC111832998	protein-coding
111832999	cadherin-8-like	LOC111832999	protein-coding
111833001	uncharacterized LOC111833001	LOC111833001	ncRNA
111833002	adenosine receptor A2b-like	LOC111833002	protein-coding
111833008	cell surface glycoprotein 1-like	LOC111833008	protein-coding
111833009	polycystic kidney disease protein 1-like 2	LOC111833009	protein-coding
111833010	haptoglobin-like	LOC111833010	protein-coding
111833013	dihydroorotate dehydrogenase (quinone), mitochondrial-like	LOC111833013	protein-coding
111833015	uncharacterized LOC111833015	LOC111833015	ncRNA
111833022	sister chromatid cohesion protein PDS5 homolog A-like	LOC111833022	protein-coding
111833023	uncharacterized LOC111833023	LOC111833023	ncRNA
111833024	beta,beta-carotene 15,15'-dioxygenase-like	LOC111833024	protein-coding
111833025	hypoxanthine-guanine phosphoribosyltransferase-like	LOC111833025	protein-coding
111833026	uncharacterized LOC111833026	LOC111833026	ncRNA
111833028	myotubularin-related protein 9-like	LOC111833028	protein-coding
111833033	gap junction beta-4 protein-like	LOC111833033	protein-coding
111833043	annexin A5-like	LOC111833043	protein-coding
111833044	uncharacterized LOC111833044	LOC111833044	ncRNA
111833046	histone deacetylase 1	LOC111833046	protein-coding
111833047	uncharacterized LOC111833047	LOC111833047	ncRNA
111833048	uncharacterized protein KIAA1522 homolog	LOC111833048	protein-coding
111833049	uncharacterized LOC111833049	LOC111833049	ncRNA
111833050	zona pellucida sperm-binding protein 3-like	LOC111833050	protein-coding
111833051	CD276 antigen-like	LOC111833051	protein-coding
111833053	transmembrane protein 54-like	LOC111833053	protein-coding
111833054	gap junction beta-3 protein-like	LOC111833054	protein-coding
111833055	uncharacterized LOC111833055	LOC111833055	protein-coding
111833057	hepatocyte nuclear factor 1-beta-A-like	LOC111833057	protein-coding
111833059	TNF receptor-associated factor 4-like	LOC111833059	protein-coding
111833062	nucleoredoxin-like	LOC111833062	protein-coding
111833063	GRB2-associated-binding protein 1-like	LOC111833063	protein-coding
111833064	solute carrier family 13 member 5-like	LOC111833064	protein-coding
111833065	alpha-2-antiplasmin-like	LOC111833065	protein-coding
111833066	merlin-like	LOC111833066	protein-coding
111833067	multidrug and toxin extrusion protein 1-like	LOC111833067	protein-coding
111833069	uncharacterized serine/threonine-protein kinase SgK494	LOC111833069	protein-coding
111833071	serine/arginine-rich splicing factor 1B	LOC111833071	protein-coding
111833072	dynein light chain 2, cytoplasmic	LOC111833072	protein-coding
111833073	calcium-binding protein 8-like	LOC111833073	protein-coding
111833074	uncharacterized LOC111833074	LOC111833074	ncRNA
111833076	membrane-associated phosphatidylinositol transfer protein 3-like	LOC111833076	protein-coding
111833077	uncharacterized LOC111833077	LOC111833077	protein-coding
111833080	adenine phosphoribosyltransferase-like	LOC111833080	protein-coding
111833085	small nucleolar RNA SNORD42	LOC111833085	snoRNA
111833086	small nucleolar RNA SNORD42	LOC111833086	snoRNA
111833088	myosin-7-like	LOC111833088	protein-coding
111833089	myosin-7-like	LOC111833089	protein-coding
111833090	uncharacterized LOC111833090	LOC111833090	ncRNA
111833092	uncharacterized LOC111833092	LOC111833092	ncRNA
111833093	SLIT-ROBO Rho GTPase-activating protein 3	LOC111833093	protein-coding
111833095	protein polybromo-1-like	LOC111833095	protein-coding
111833097	amyloid-beta A4 precursor protein-binding family B member 2-like	LOC111833097	protein-coding
111833098	potassium voltage-gated channel subfamily B member 1-like	LOC111833098	protein-coding
111833099	prostacyclin synthase-like	LOC111833099	protein-coding
111833102	uncharacterized LOC111833102	LOC111833102	ncRNA
111833103	coiled-coil domain-containing protein 3-like	LOC111833103	protein-coding
111833104	protein bassoon-like	LOC111833104	protein-coding
111833105	small nucleolar RNA SNORD19	LOC111833105	snoRNA
111833106	small nucleolar SNORD12/SNORD106	LOC111833106	snoRNA
111833107	small nucleolar SNORD12/SNORD106	LOC111833107	snoRNA
111833108	small nucleolar SNORD12/SNORD106	LOC111833108	snoRNA
111833109	progestin and adipoQ receptor family member 4-like	LOC111833109	protein-coding
111833111	NACHT, LRR and PYD domains-containing protein 3-like	LOC111833111	protein-coding
111833112	sesquipedalian-1-like	LOC111833112	protein-coding
111833113	fibroin heavy chain-like	LOC111833113	protein-coding
111833114	kelch-like protein 41b	LOC111833114	protein-coding
111833115	uncharacterized LOC111833115	LOC111833115	protein-coding
111833116	uncharacterized LOC111833116	LOC111833116	protein-coding
111833117	stonustoxin subunit beta-like	LOC111833117	protein-coding
111833118	TBC1 domain family member 10A-like	LOC111833118	protein-coding
111833120	transforming growth factor beta-1-induced transcript 1 protein-like	LOC111833120	protein-coding
111833122	myosin regulatory light chain 2, skeletal muscle isoform	LOC111833122	protein-coding
111833124	macrophage mannose receptor 1-like	LOC111833124	protein-coding
111833126	calcium-independent phospholipase A2-gamma-like	LOC111833126	protein-coding
111833127	zinc finger and BTB domain-containing protein 43-like	LOC111833127	protein-coding
111833128	uncharacterized LOC111833128	LOC111833128	ncRNA
111833130	angiopoietin-related protein 2-like	LOC111833130	protein-coding
111833131	pre-B-cell leukemia transcription factor 3-like	LOC111833131	protein-coding
111833132	LIM/homeobox protein LMX-1.2-like	LOC111833132	protein-coding
111833133	uncharacterized LOC111833133	LOC111833133	ncRNA
111833134	semaphorin-5A-like	LOC111833134	protein-coding
111833135	uncharacterized LOC111833135	LOC111833135	ncRNA
111833136	sodium/potassium-transporting ATPase subunit alpha-2-like	LOC111833136	protein-coding
111833138	uncharacterized LOC111833138	LOC111833138	ncRNA
111833140	high affinity immunoglobulin epsilon receptor subunit gamma-like	LOC111833140	protein-coding
111833141	uncharacterized LOC111833141	LOC111833141	ncRNA
111833142	uncharacterized LOC111833142	LOC111833142	protein-coding
111833144	T-lymphocyte surface antigen Ly-9-like	LOC111833144	protein-coding
111833145	uncharacterized LOC111833145	LOC111833145	protein-coding
111833146	rho GTPase-activating protein 30-like	LOC111833146	protein-coding
111833147	nectin-4-like	LOC111833147	protein-coding
111833148	zinc finger protein 543-like	LOC111833148	protein-coding
111833149	type I phosphatidylinositol 4,5-bisphosphate 4-phosphatase-A	LOC111833149	protein-coding
111833150	ETS translocation variant 3-like protein	LOC111833150	protein-coding
111833152	uncharacterized LOC111833152	LOC111833152	ncRNA
111833153	endothelial zinc finger protein induced by tumor necrosis factor alpha-like	LOC111833153	protein-coding
111833154	zinc finger protein with KRAB and SCAN domains 8-like	LOC111833154	protein-coding
111833155	purine nucleoside phosphorylase-like	LOC111833155	protein-coding
111833158	G protein-activated inward rectifier potassium channel 3-like	LOC111833158	protein-coding
111833160	uncharacterized LOC111833160	LOC111833160	ncRNA
111833162	uncharacterized LOC111833162	LOC111833162	ncRNA
111833163	uncharacterized LOC111833163	LOC111833163	ncRNA
111833164	U5 spliceosomal RNA	LOC111833164	snRNA
111833165	mineralocorticoid receptor-like	LOC111833165	protein-coding
111833167	BEN domain-containing protein 4-like	LOC111833167	protein-coding
111833168	uncharacterized LOC111833168	LOC111833168	ncRNA
111833174	CD209 antigen-like protein A	LOC111833174	protein-coding
111833175	glutathione reductase, mitochondrial-like	LOC111833175	protein-coding
111833176	phospholipid-transporting ATPase IA	LOC111833176	protein-coding
111833177	ubiquitin-conjugating enzyme E2 D2-like	LOC111833177	protein-coding
111833178	RING finger protein 145-like	LOC111833178	protein-coding
111833180	uncharacterized LOC111833180	LOC111833180	ncRNA
111833181	protein shisa-3 homolog	LOC111833181	protein-coding
111833182	asparagine-rich protein-like	LOC111833182	protein-coding
111833183	cadherin-4-like	LOC111833183	protein-coding
111833186	snaclec agglucetin subunit beta-1-like	LOC111833186	protein-coding
111833188	Bardet-Biedl syndrome 5 protein homolog	LOC111833188	protein-coding
111833191	uncharacterized LOC111833191	LOC111833191	ncRNA
111833193	nucleoside diphosphate kinase A-like	LOC111833193	protein-coding
111833194	uncharacterized LOC111833194	LOC111833194	protein-coding
111833195	uncharacterized LOC111833195	LOC111833195	ncRNA
111833197	migration and invasion enhancer 1-like	LOC111833197	protein-coding
111833198	tumor suppressor candidate 5 homolog	LOC111833198	protein-coding
111833199	double C2-like domain-containing protein alpha	LOC111833199	protein-coding
111833200	serine/threonine-protein kinase TAO2-like	LOC111833200	protein-coding
111833201	myc-associated zinc finger protein-like	LOC111833201	protein-coding
111833202	nucleolar transcription factor 1-like	LOC111833202	protein-coding
111833203	ataxin-7-like protein 3	LOC111833203	protein-coding
111833204	uncharacterized LOC111833204	LOC111833204	ncRNA
111833205	ataxin-2-like protein	LOC111833205	protein-coding
111833206	band 3 anion exchange protein-like	LOC111833206	protein-coding
111833207	calcium-binding protein 5-like	LOC111833207	protein-coding
111833208	tumor necrosis factor receptor superfamily member 16-like	LOC111833208	protein-coding
111833211	rap guanine nucleotide exchange factor 2-like	LOC111833211	protein-coding
111833212	leucine-rich repeat transmembrane neuronal protein 4-like	LOC111833212	protein-coding
111833213	zinc finger protein 271-like	LOC111833213	protein-coding
111833215	probable flavin-containing monoamine oxidase A	LOC111833215	protein-coding
111833216	coxsackievirus and adenovirus receptor homolog	LOC111833216	protein-coding
111833217	zinc finger protein 418-like	LOC111833217	protein-coding
111833218	histone-lysine N-methyltransferase PRDM9-like	LOC111833218	protein-coding
111833220	neurofilament medium polypeptide-like	LOC111833220	protein-coding
111833221	neurofilament light polypeptide-like	LOC111833221	protein-coding
111833222	phosphoglycerate mutase 2	LOC111833222	protein-coding
111833224	uncharacterized LOC111833224	LOC111833224	protein-coding
111833225	zinc finger protein 883-like	LOC111833225	protein-coding
111833226	crk-like protein	LOC111833226	protein-coding
111833229	uncharacterized LOC111833229	LOC111833229	ncRNA
111833231	protein Wnt-7b-like	LOC111833231	protein-coding
111833233	uncharacterized LOC111833233	LOC111833233	ncRNA
111833236	uncharacterized protein KIAA1644 homolog	LOC111833236	protein-coding
111833237	protein arginine N-methyltransferase 8-B-like	LOC111833237	protein-coding
111833238	kielin/chordin-like protein	LOC111833238	protein-coding
111833239	uncharacterized LOC111833239	LOC111833239	ncRNA
111833241	prolactin-like	LOC111833241	protein-coding
111833242	uncharacterized LOC111833242	LOC111833242	ncRNA
111833243	D(4) dopamine receptor-like	LOC111833243	protein-coding
111833244	uncharacterized LOC111833244	LOC111833244	ncRNA
111833245	protein-methionine sulfoxide oxidase mical3a-like	LOC111833245	protein-coding
111833248	uncharacterized LOC111833248	LOC111833248	ncRNA
111833249	uncharacterized LOC111833249	LOC111833249	ncRNA
111833250	uncharacterized LOC111833250	LOC111833250	ncRNA
111833251	uncharacterized LOC111833251	LOC111833251	ncRNA
111833252	protein bicaudal D homolog 1-like	LOC111833252	protein-coding
111833253	UPF0606 protein KIAA1549-like	LOC111833253	protein-coding
111833255	ATP-binding cassette sub-family C member 9-like	LOC111833255	protein-coding
111833256	cadherin-related family member 5-like	LOC111833256	protein-coding
111833258	inosine-5'-monophosphate dehydrogenase 1b	LOC111833258	protein-coding
111833259	TBC1 domain family member 1-like	LOC111833259	protein-coding
111833260	ras and EF-hand domain-containing protein-like	LOC111833260	protein-coding
111833262	RNA-binding protein 47-like	LOC111833262	protein-coding
111833264	transportin-3	LOC111833264	protein-coding
111833266	uncharacterized LOC111833266	LOC111833266	ncRNA
111833267	homeodomain-interacting protein kinase 2-like	LOC111833267	protein-coding
111833268	uncharacterized LOC111833268	LOC111833268	ncRNA
111833269	peroxisome proliferator-activated receptor alpha-like	LOC111833269	protein-coding
111833271	SRSF protein kinase 2-like	LOC111833271	protein-coding
111833275	cilia- and flagella-associated protein 54-like	LOC111833275	protein-coding
111833276	semaphorin-3A-like	LOC111833276	protein-coding
111833278	uncharacterized LOC111833278	LOC111833278	ncRNA
111833279	fibulin-1-like	LOC111833279	protein-coding
111833280	protein piccolo-like	LOC111833280	protein-coding
111833284	sodium- and chloride-dependent GABA transporter 2-like	LOC111833284	protein-coding
111833286	DENN domain-containing protein 2A-like	LOC111833286	protein-coding
111833287	uncharacterized LOC111833287	LOC111833287	ncRNA
111833289	voltage-dependent calcium channel subunit alpha-2/delta-1-like	LOC111833289	protein-coding
111833290	uncharacterized LOC111833290	LOC111833290	ncRNA
111833292	transmembrane and TPR repeat-containing protein 2-like	LOC111833292	protein-coding
111833293	uncharacterized LOC111833293	LOC111833293	ncRNA
111833296	glutamate receptor 2	LOC111833296	protein-coding
111833298	cysteinyl leukotriene receptor 2-like	LOC111833298	protein-coding
111833299	twinfilin-1-like	LOC111833299	protein-coding
111833303	uncharacterized LOC111833303	LOC111833303	ncRNA
111833304	tetraspanin-9-like	LOC111833304	protein-coding
111833306	transcriptional enhancer factor TEF-3-like	LOC111833306	protein-coding
111833307	tyrosine--tRNA ligase, mitochondrial-like	LOC111833307	protein-coding
111833309	transcription intermediary factor 1-alpha-like	LOC111833309	protein-coding
111833310	uncharacterized LOC111833310	LOC111833310	ncRNA
111833311	solute carrier family 23 member 1-like	LOC111833311	protein-coding
111833313	calumenin	LOC111833313	protein-coding
111833314	hepatocyte growth factor-like	LOC111833314	protein-coding
111833315	tetraspanin-11-like	LOC111833315	protein-coding
111833316	uncharacterized LOC111833316	LOC111833316	ncRNA
111833317	uncharacterized LOC111833317	LOC111833317	ncRNA
111833318	secreted frizzled-related protein 5-like	LOC111833318	protein-coding
111833319	poly [ADP-ribose] polymerase 12-like	LOC111833319	protein-coding
111833321	poly [ADP-ribose] polymerase 12-like	LOC111833321	protein-coding
111833323	A disintegrin and metalloproteinase with thrombospondin motifs 20-like	LOC111833323	protein-coding
111833324	protein kinase C-binding protein NELL2-like	LOC111833324	protein-coding
111833325	uncharacterized LOC111833325	LOC111833325	ncRNA
111833326	uncharacterized LOC111833326	LOC111833326	protein-coding
111833327	U4 spliceosomal RNA	LOC111833327	snRNA
111833331	zinc finger BED domain-containing protein 4-like	LOC111833331	protein-coding
111833333	uncharacterized LOC111833333	LOC111833333	ncRNA
111833334	uncharacterized LOC111833334	LOC111833334	ncRNA
111833335	uncharacterized LOC111833335	LOC111833335	protein-coding
111833336	PHD finger protein 21B-like	LOC111833336	protein-coding
111833338	transmembrane protein 184C-like	LOC111833338	protein-coding
111833339	LARGE xylosyl- and glucuronyltransferase 1	LOC111833339	protein-coding
111833340	stimulated by retinoic acid gene 8 protein homolog	LOC111833340	protein-coding
111833341	shaker-related potassium channel tsha2-like	LOC111833341	protein-coding
111833342	uncharacterized LOC111833342	LOC111833342	ncRNA
111833343	potassium voltage-gated channel subfamily A member 1	LOC111833343	protein-coding
111833344	potassium voltage-gated channel subfamily A member 1-like	LOC111833344	protein-coding
111833345	uncharacterized LOC111833345	LOC111833345	ncRNA
111833346	fibroblast growth factor-binding protein 2-like	LOC111833346	protein-coding
111833350	protocadherin gamma-C3-like	LOC111833350	protein-coding
111833351	protein sprouty homolog 4-like	LOC111833351	protein-coding
111833352	protein Shroom2-like	LOC111833352	protein-coding
111833354	uncharacterized LOC111833354	LOC111833354	ncRNA
111833355	AF4/FMR2 family member 4-like	LOC111833355	protein-coding
111833356	prominin-1-A-like	LOC111833356	protein-coding
111833357	heat shock 70 kDa protein 4-like	LOC111833357	protein-coding
111833358	glucosamine-6-phosphate isomerase 1	LOC111833358	protein-coding
111833359	cytochrome b-c1 complex subunit 8	LOC111833359	protein-coding
111833360	putative fibroblast growth factor 1	LOC111833360	protein-coding
111833361	BTB/POZ domain-containing protein KCTD16-like	LOC111833361	protein-coding
111833362	poly(U)-specific endoribonuclease-B-like	LOC111833362	protein-coding
111833363	uncharacterized LOC111833363	LOC111833363	ncRNA
111833365	uncharacterized LOC111833365	LOC111833365	protein-coding
111833366	septin-8-A-like	LOC111833366	protein-coding
111833367	cyclin-I-like	LOC111833367	protein-coding
111833368	glucocorticoid receptor-like	LOC111833368	protein-coding
111833369	rho GTPase-activating protein 26-like	LOC111833369	protein-coding
111833374	NEDD4 family-interacting protein 1-like	LOC111833374	protein-coding
111833380	rho GTPase-activating protein 10-like	LOC111833380	protein-coding
111833385	uncharacterized LOC111833385	LOC111833385	protein-coding
111833386	formin-binding protein 1-like	LOC111833386	protein-coding
111833387	collagen alpha-1(V) chain-like	LOC111833387	protein-coding
111833388	uncharacterized LOC111833388	LOC111833388	protein-coding
111833390	protein FAM69B-like	LOC111833390	protein-coding
111833391	epidermal growth factor-like protein 7	LOC111833391	protein-coding
111833392	1-acyl-sn-glycerol-3-phosphate acyltransferase alpha-like	LOC111833392	protein-coding
111833394	uncharacterized LOC111833394	LOC111833394	ncRNA
111833395	sodium/calcium exchanger 1-like	LOC111833395	protein-coding
111833396	uncharacterized LOC111833396	LOC111833396	protein-coding
111833397	myelin and lymphocyte protein-like	LOC111833397	protein-coding
111833398	myelin and lymphocyte protein-like	LOC111833398	protein-coding
111833400	uncharacterized LOC111833400	LOC111833400	protein-coding
111833401	lecithin retinol acyltransferase-like	LOC111833401	protein-coding
111833404	uncharacterized LOC111833404	LOC111833404	ncRNA
111833405	P2Y purinoceptor 2-like	LOC111833405	protein-coding
111833406	collagen alpha-1(V) chain-like	LOC111833406	protein-coding
