rev1	XM_023790310.1
arhgdia	XM_023790674.1
arhgdia	XM_023790675.1
endov	XM_023790676.1
endov	XM_023790677.1
endov	XM_023790678.1
endov	XM_023790679.1
endov	XM_023790680.1
mrpl58	XM_023790681.1
LOC111832910	XM_023790682.1
LOC111832910	XM_023790683.1
LOC111832908	XM_023790684.1
cdr2l	XM_023790685.1
cdr2l	XM_023790686.1
rptor	XM_023790687.1
klhl10	XM_023790688.1
klhl10	XM_023790689.1
p4hb	XM_023790690.1
ppp1r27	XM_023790691.1
LOC111832916	XM_023790692.1
mcrip1	XM_023790693.1
anapc11	XM_023790694.1
LOC111832920	XM_023790695.1
LOC111832917	XM_023790696.1
LOC111832920	XM_023790697.1
LOC111832920	XM_023790698.1
LOC111832920	XM_023790699.1
LOC111832926	XM_023790700.1
LOC111832917	XM_023790701.1
LOC111832928	XM_023790702.1
zfhx3	XM_023790703.1
zfhx3	XM_023790704.1
zfhx3	XM_023790705.1
pkd1l2	XM_023790706.1
ap1g1	XM_023790707.1
ap1g1	XM_023790708.1
ap1g1	XM_023790709.1
ap1g1	XM_023790710.1
znf821	XM_023790711.1
znf821	XM_023790712.1
znf821	XM_023790713.1
LOC111832932	XM_023790714.1
znf821	XM_023790715.1
LOC111832934	XM_023790716.1
tead1	XM_023790717.1
tead1	XM_023790718.1
tead1	XM_023790719.1
tead1	XM_023790720.1
tead1	XM_023790721.1
tead1	XM_023790722.1
tead1	XM_023790723.1
tead1	XM_023790724.1
tead1	XM_023790725.1
tead1	XM_023790726.1
tead1	XM_023790727.1
rassf10	XM_023790728.1
LOC111832936	XM_023790729.1
rassf10	XM_023790730.1
LOC111832938	XM_023790731.1
pdp2	XM_023790732.1
atxn1l	XM_023790733.1
atxn1l	XM_023790734.1
ist1	XM_023790735.1
ist1	XM_023790736.1
fastkd1	XM_023790737.1
LOC111832936	XM_023790738.1
ist1	XM_023790739.1
ankrd11	XM_023790740.1
ankrd11	XM_023790741.1
ankrd11	XM_023790742.1
piezo1	XM_023790743.1
piezo1	XM_023790744.1
piezo1	XM_023790745.1
piezo1	XM_023790746.1
LOC111832945	XM_023790747.1
LOC111832945	XM_023790748.1
LOC111832945	XM_023790749.1
LOC111832945	XM_023790750.1
cdh15	XM_023790751.1
LOC111832946	XM_023790752.1
spg7	XM_023790753.1
cbfa2t3	XM_023790754.1
cbfa2t3	XM_023790755.1
cbfa2t3	XM_023790756.1
cbfa2t3	XM_023790757.1
cbfa2t3	XM_023790758.1
cbfa2t3	XM_023790759.1
cbfa2t3	XM_023790760.1
cbfa2t3	XM_023790761.1
LOC111832946	XM_023790762.1
cdt1	XM_023790763.1
acsf3	XM_023790764.1
galns	XM_023790765.1
galns	XM_023790766.1
galns	XM_023790767.1
ctu2	XM_023790768.1
ctu2	XM_023790769.1
LOC111832954	XM_023790770.1
rrad	XM_023790771.1
snai3	XM_023790772.1
snai3	XM_023790773.1
LOC111832955	XM_023790774.1
pabpn1l	XM_023790775.1
pabpn1l	XM_023790776.1
pabpn1l	XM_023790777.1
pabpn1l	XM_023790778.1
pabpn1l	XM_023790779.1
rnf166	XM_023790780.1
aprt	XM_023790781.1
fam96b	XM_023790782.1
LOC111832955	XM_023790783.1
fam96b	XM_023790784.1
trappc2l	XM_023790785.1
LOC111832967	XM_023790786.1
LOC111832967	XM_023790787.1
LOC111832967	XM_023790788.1
LOC111832955	XM_023790789.1
LOC111832967	XM_023790790.1
LOC111832967	XM_023790791.1
marveld3	XM_023790792.1
usp47	XM_023790793.1
usp47	XM_023790794.1
usp47	XM_023790795.1
dkk3	XM_023790796.1
LOC111832971	XM_023790797.1
LOC111832955	XM_023790798.1
LOC111832971	XM_023790799.1
LOC111832971	XM_023790800.1
LOC111832971	XM_023790801.1
LOC111832971	XM_023790802.1
LOC111832971	XM_023790803.1
LOC111832971	XM_023790804.1
LOC111832971	XM_023790805.1
LOC111832973	XM_023790806.1
LOC111832973	XM_023790807.1
LOC111832973	XM_023790808.1
LOC111832973	XM_023790809.1
LOC111832973	XM_023790810.1
LOC111832973	XM_023790811.1
LOC111832973	XM_023790812.1
rbm46	XM_023790813.1
LOC111832973	XM_023790814.1
LOC111832973	XM_023790815.1
parva	XM_023790816.1
LOC111832976	XM_023790817.1
LOC111832977	XM_023790818.1
LOC111832978	XM_023790819.1
LOC111832979	XM_023790820.1
LOC111832980	XM_023790821.1
bean1	XM_023790822.1
bean1	XM_023790823.1
fastkd1	XM_023790824.1
bean1	XM_023790825.1
tk2	XM_023790826.1
cdh11	XM_023790827.1
slc22a31	XM_023790828.1
slc22a31	XM_023790829.1
slc22a31	XM_023790830.1
dpep1	XM_023790831.1
LOC111832988	XM_023790832.1
btbd10	XM_023790833.1
btbd10	XM_023790834.1
pigy	XM_023790835.1
pigy	XM_023790836.1
pigy	XM_023790837.1
pigy	XM_023790838.1
pigy	XM_023790839.1
cmtm4	XM_023790840.1
cmtm3	XM_023790841.1
LOC111832994	XM_023790842.1
bola3	XM_023790843.1
bola3	XM_023790844.1
vat1l	XM_023790845.1
LOC111832998	XM_023790846.1
LOC111832999	XM_023790847.1
LOC111832999	XM_023790848.1
clec3a	XM_023790849.1
LOC111833002	XM_023790850.1
dhx38	XM_023790851.1
nfat5	XM_023790852.1
nfat5	XM_023790853.1
nfat5	XM_023790854.1
nfat5	XM_023790855.1
nfat5	XM_023790856.1
nfat5	XM_023790857.1
nfat5	XM_023790858.1
nfat5	XM_023790859.1
nfat5	XM_023790860.1
klb	XM_023790861.1
nfat5	XM_023790862.1
terb1	XM_023790863.1
terb1	XM_023790864.1
terb1	XM_023790865.1
terb1	XM_023790866.1
terb1	XM_023790867.1
terb1	XM_023790868.1
terb1	XM_023790869.1
terb1	XM_023790870.1
terb1	XM_023790871.1
terb1	XM_023790872.1
LOC111833008	XM_023790873.1
LOC111833009	XM_023790874.1
fga	XM_023790875.1
LOC111833010	XM_023790876.1
dync1li2	XM_023790877.1
dync1li2	XM_023790878.1
crispld2	XM_023790879.1
LOC111833013	XM_023790880.1
gcsh	XM_023790881.1
nae1	XM_023790882.1
nae1	XM_023790883.1
nae1	XM_023790884.1
nae1	XM_023790885.1
nae1	XM_023790886.1
fgb	XM_023790887.1
nae1	XM_023790888.1
nae1	XM_023790889.1
ca7	XM_023790890.1
bco1	XM_023790891.1
bco1	XM_023790892.1
phlpp2	XM_023790893.1
kars	XM_023790894.1
kars	XM_023790895.1
fastkd1	XM_023790896.1
kars	XM_023790897.1
LOC111833024	XM_023790898.1
LOC111833024	XM_023790899.1
LOC111833022	XM_023790900.1
LOC111833024	XM_023790901.1
LOC111833024	XM_023790902.1
LOC111833025	XM_023790903.1
LOC111833025	XM_023790904.1
LOC111833025	XM_023790905.1
LOC111833025	XM_023790906.1
LOC111833028	XM_023790907.1
LOC111833028	XM_023790908.1
LOC111833028	XM_023790909.1
LOC111833028	XM_023790910.1
LOC111833028	XM_023790911.1
map4k5	XM_023790912.1
bbs7	XM_023790913.1
atl1	XM_023790914.1
atl1	XM_023790915.1
atp5s	XM_023790916.1
atp5s	XM_023790917.1
atp5s	XM_023790918.1
LOC111833033	XM_023790919.1
LOC111833033	XM_023790920.1
lck	XM_023790921.1
bbs7	XM_023790922.1
lck	XM_023790923.1
lck	XM_023790924.1
lck	XM_023790925.1
lck	XM_023790926.1
tmem39b	XM_023790927.1
tmem39b	XM_023790928.1
tmem39b	XM_023790929.1
tmem39b	XM_023790930.1
dcdc2b	XM_023790931.1
dcdc2b	XM_023790932.1
dcdc2b	XM_023790933.1
dcdc2b	XM_023790934.1
ccna2	XM_023790935.1
khdrbs1	XM_023790936.1
eif3i	XM_023790937.1
ccdc28b	XM_023790938.1
ccdc28b	XM_023790939.1
ccdc28b	XM_023790940.1
iqcc	XM_023790941.1
iqcc	XM_023790942.1
tmem234	XM_023790943.1
tmem234	XM_023790944.1
nubpl	XM_023790945.1
nubpl	XM_023790946.1
nubpl	XM_023790947.1
LOC111833043	XM_023790948.1
nubpl	XM_023790949.1
nubpl	XM_023790950.1
nubpl	XM_023790951.1
nubpl	XM_023790952.1
nubpl	XM_023790953.1
LOC111833046	XM_023790954.1
LOC111833048	XM_023790955.1
LOC111833048	XM_023790956.1
LOC111833050	XM_023790957.1
LOC111833050	XM_023790958.1
LOC111833051	XM_023790959.1
zbtb8os	XM_023790960.1
LOC111833053	XM_023790961.1
LOC111833054	XM_023790962.1
LOC111833055	XM_023790963.1
heatr6	XM_023790964.1
LOC111833057	XM_023790965.1
LOC111833057	XM_023790966.1
LOC111833057	XM_023790967.1
slc47a1	XM_023790968.1
slc47a1	XM_023790969.1
LOC111833059	XM_023790970.1
LOC111833059	XM_023790971.1
ddx52	XM_023790972.1
mrm3	XM_023790973.1
LOC111833062	XM_023790974.1
LOC111833064	XM_023790975.1
LOC111833064	XM_023790976.1
LOC111833065	XM_023790977.1
fastkd1	XM_023790978.1
LOC111833063	XM_023790979.1
LOC111833065	XM_023790980.1
LOC111833065	XM_023790981.1
LOC111833066	XM_023790982.1
LOC111833066	XM_023790983.1
LOC111833067	XM_023790984.1
pigs	XM_023790985.1
pigs	XM_023790986.1
LOC111833069	XM_023790987.1
LOC111833063	XM_023790988.1
LOC111833069	XM_023790989.1
aldoc	XM_023790990.1
aldoc	XM_023790991.1
LOC111833071	XM_023790992.1
LOC111833072	XM_023790993.1
LOC111833072	XM_023790994.1
LOC111833073	XM_023790995.1
LOC111833073	XM_023790996.1
LOC111833063	XM_023790997.1
tmigd1	XM_023790998.1
tmigd1	XM_023790999.1
LOC111833076	XM_023791000.1
LOC111833076	XM_023791001.1
LOC111833076	XM_023791002.1
LOC111833076	XM_023791003.1
LOC111833076	XM_023791004.1
LOC111833076	XM_023791005.1
LOC111833063	XM_023791006.1
LOC111833077	XM_023791007.1
LOC111833077	XM_023791008.1
supt6h	XM_023791009.1
supt6h	XM_023791010.1
supt6h	XM_023791011.1
rab34	XM_023791012.1
LOC111833080	XM_023791013.1
LOC111833080	XM_023791014.1
LOC111833063	XM_023791015.1
rpl23a	XM_023791016.1
smyd4	XM_023791017.1
smyd4	XM_023791018.1
smyd4	XM_023791019.1
serpinf1	XM_023791020.1
sdf2	XM_023791021.1
LOC111833063	XM_023791022.1
LOC111833088	XM_023791023.1
LOC111833089	XM_023791024.1
thumpd3	XM_023791025.1
thumpd3	XM_023791026.1
LOC111833063	XM_023791027.1
LOC111833093	XM_023791028.1
LOC111833093	XM_023791029.1
camk1	XM_023791030.1
camk1	XM_023791031.1
camk1	XM_023791032.1
LOC111833095	XM_023791033.1
LOC111833095	XM_023791034.1
bap1	XM_023791035.1
LOC111833098	XM_023791036.1
LOC111833098	XM_023791037.1
LOC111833099	XM_023791038.1
LOC111833097	XM_023791039.1
glt8d1	XM_023791040.1
glt8d1	XM_023791041.1
spcs1	XM_023791042.1
LOC111833103	XM_023791043.1
LOC111833104	XM_023791044.1
LOC111833097	XM_023791045.1
LOC111833109	XM_023791046.1
LOC111833109	XM_023791047.1
pelo	XM_023791048.1
pelo	XM_023791049.1
LOC111833111	XM_023791050.1
LOC111833097	XM_023791051.1
LOC111833112	XM_023791052.1
LOC111833112	XM_023791053.1
LOC111833112	XM_023791054.1
LOC111833113	XM_023791055.1
LOC111833115	XM_023791056.1
LOC111833115	XM_023791057.1
LOC111833116	XM_023791058.1
LOC111833097	XM_023791059.1
LOC111833117	XM_023791060.1
LOC111833118	XM_023791061.1
LOC111833118	XM_023791062.1
LOC111833118	XM_023791063.1
pkmyt1	XM_023791064.1
pkmyt1	XM_023791065.1
pkmyt1	XM_023791066.1
LOC111833120	XM_023791067.1
LOC111833120	XM_023791068.1
LOC111833097	XM_023791069.1
LOC111833120	XM_023791070.1
elob	XM_023791071.1
LOC111833122	XM_023791072.1
hsd3b7	XM_023791073.1
LOC111833124	XM_023791074.1
LOC111833124	XM_023791075.1
LOC111833097	XM_023791076.1
LOC111833126	XM_023791077.1
LOC111833127	XM_023791078.1
mvb12b	XM_023791079.1
mvb12b	XM_023791080.1
mvb12b	XM_023791081.1
LOC111833130	XM_023791082.1
LOC111833131	XM_023791083.1
LOC111833097	XM_023791084.1
LOC111833131	XM_023791085.1
LOC111833132	XM_023791086.1
LOC111833132	XM_023791087.1
LOC111833132	XM_023791088.1
LOC111833132	XM_023791089.1
LOC111833134	XM_023791090.1
LOC111833134	XM_023791091.1
LOC111833097	XM_023791092.1
LOC111833136	XM_023791093.1
sdhc	XM_023791094.1
sdhc	XM_023791095.1
LOC111833114	XM_023791096.1
LOC111833140	XM_023791097.1
LOC111833142	XM_023791098.1
LOC111833097	XM_023791099.1
lig1	XM_023791100.1
LOC111833144	XM_023791101.1
LOC111833145	XM_023791102.1
LOC111833146	XM_023791103.1
LOC111833146	XM_023791104.1
LOC111833147	XM_023791105.1
LOC111833147	XM_023791106.1
LOC111833148	XM_023791107.1
LOC111833097	XM_023791108.1
LOC111833149	XM_023791109.1
LOC111833149	XM_023791110.1
LOC111833149	XM_023791111.1
LOC111833150	XM_023791112.1
LOC111833150	XM_023791113.1
LOC111833150	XM_023791114.1
LOC111833150	XM_023791115.1
mpz	XM_023791116.1
LOC111833097	XM_023791117.1
mpz	XM_023791118.1
mpz	XM_023791119.1
LOC111833153	XM_023791120.1
LOC111833154	XM_023791121.1
LOC111833155	XM_023791122.1
kirrel1	XM_023791123.1
kirrel1	XM_023791124.1
LOC111833097	XM_023791125.1
cadm3	XM_023791126.1
cadm3	XM_023791127.1
cadm3	XM_023791128.1
LOC111833158	XM_023791129.1
LOC111833158	XM_023791130.1
LOC111833158	XM_023791131.1
LOC111833158	XM_023791132.1
eif3f	XM_023791133.1
kcnj10	XM_023791134.1
kcnj10	XM_023791135.1
kcnj10	XM_023791136.1
kcnj10	XM_023791137.1
kcnj10	XM_023791138.1
kcnj10	XM_023791139.1
kcnj10	XM_023791140.1
LOC111833167	XM_023791141.1
dcaf10	XM_023791142.1
LOC111833165	XM_023791143.1
dcaf10	XM_023791144.1
pomk	XM_023791145.1
slc39a8	XM_023791146.1
nfkb1	XM_023791147.1
nfkb1	XM_023791148.1
nfkb1	XM_023791149.1
manba	XM_023791150.1
LOC111833165	XM_023791151.1
LOC111833174	XM_023791152.1
LOC111833175	XM_023791153.1
LOC111833176	XM_023791154.1
LOC111833176	XM_023791155.1
LOC111833177	XM_023791156.1
LOC111833177	XM_023791157.1
LOC111833178	XM_023791158.1
LOC111833165	XM_023791159.1
grxcr1	XM_023791160.1
LOC111833181	XM_023791161.1
LOC111833181	XM_023791162.1
LOC111833182	XM_023791163.1
LOC111833182	XM_023791164.1
LOC111833183	XM_023791165.1
tdrkh	XM_023791166.1
LOC111833165	XM_023791167.1
tdrkh	XM_023791168.1
tdrkh	XM_023791169.1
tdrkh	XM_023791170.1
tdrkh	XM_023791171.1
tdrkh	XM_023791172.1
tdrkh	XM_023791173.1
myo15b	XM_023791174.1
LOC111833186	XM_023791175.1
llgl2	XM_023791176.1
LOC111833165	XM_023791177.1
llgl2	XM_023791178.1
llgl2	XM_023791179.1
llgl2	XM_023791180.1
galk1	XM_023791181.1
mbtd1	XM_023791182.1
mbtd1	XM_023791183.1
mbtd1	XM_023791184.1
mbtd1	XM_023791185.1
mbtd1	XM_023791186.1
mbtd1	XM_023791187.1
mbtd1	XM_023791188.1
mbtd1	XM_023791189.1
tmem94	XM_023791190.1
tmem94	XM_023791191.1
tmem94	XM_023791192.1
tmem94	XM_023791193.1
LOC111833193	XM_023791194.1
LOC111833193	XM_023791195.1
LOC111833197	XM_023791196.1
LOC111833194	XM_023791197.1
LOC111833198	XM_023791198.1
LOC111833198	XM_023791199.1
LOC111833199	XM_023791200.1
LOC111833200	XM_023791201.1
LOC111833200	XM_023791202.1
LOC111833200	XM_023791203.1
LOC111833201	XM_023791204.1
LOC111833201	XM_023791205.1
LOC111833201	XM_023791206.1
LOC111833194	XM_023791207.1
LOC111833201	XM_023791208.1
LOC111833202	XM_023791209.1
LOC111833203	XM_023791210.1
LOC111833203	XM_023791211.1
LOC111833203	XM_023791212.1
LOC111833205	XM_023791213.1
LOC111833205	XM_023791214.1
LOC111833194	XM_023791215.1
LOC111833205	XM_023791216.1
LOC111833205	XM_023791217.1
LOC111833205	XM_023791218.1
LOC111833205	XM_023791219.1
LOC111833188	XM_023791220.1
LOC111833206	XM_023791221.1
LOC111833206	XM_023791222.1
LOC111833207	XM_023791223.1
LOC111833208	XM_023791224.1
LOC111833208	XM_023791225.1
adprh	XM_023791226.1
ftsj1	XM_023791227.1
LOC111833212	XM_023791228.1
LOC111833212	XM_023791229.1
LOC111833213	XM_023791230.1
LOC111833211	XM_023791231.1
LOC111833215	XM_023791232.1
LOC111833215	XM_023791233.1
LOC111833215	XM_023791234.1
LOC111833215	XM_023791235.1
LOC111833216	XM_023791236.1
LOC111833216	XM_023791237.1
LOC111833217	XM_023791238.1
