GO_IDs	GO_terms
GO:0000493	box H/ACA snoRNP assembly
GO:0000494	box C/D snoRNA 3'-end processing
GO:0000495	box H/ACA snoRNA 3'-end processing
GO:0000578	embryonic axis specification
GO:0000706	meiotic DNA double-strand break processing
GO:0000710	meiotic mismatch repair
GO:0000712	resolution of meiotic recombination intermediates
GO:0000715	nucleotide-excision repair, DNA damage recognition
GO:0000717	nucleotide-excision repair, DNA duplex unwinding
GO:0000719	photoreactive repair
GO:0000722	telomere maintenance via recombination
GO:0000723	telomere maintenance
GO:0000724	double-strand break repair via homologous recombination
GO:0000725	recombinational repair
GO:0000727	double-strand break repair via break-induced replication
GO:0000729	DNA double-strand break processing
GO:0000730	DNA recombinase assembly
GO:0000731	DNA synthesis involved in DNA repair
GO:0000732	strand displacement
GO:0000733	DNA strand renaturation
GO:0000735	removal of nonhomologous ends
GO:0000737	DNA catabolic process, endonucleolytic
GO:0000738	DNA catabolic process, exonucleolytic
GO:0000741	karyogamy
GO:0000819	sister chromatid segregation
GO:0000902	cell morphogenesis
GO:0000910	cytokinesis
GO:0000915	actomyosin contractile ring assembly
GO:0000920	cell separation after cytokinesis
GO:0000921	septin ring assembly
GO:0000956	nuclear-transcribed mRNA catabolic process
GO:0000958	mitochondrial mRNA catabolic process
GO:0000961	negative regulation of mitochondrial RNA catabolic process
GO:0000962	positive regulation of mitochondrial RNA catabolic process
GO:0000965	mitochondrial RNA 3'-end processing
GO:0000966	RNA 5'-end processing
GO:0000971	tRNA exon ligation utilizing 2',3' cyclic phosphate of 5'-exon as source of linkage phosphate
GO:0000972	transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery
GO:0000973	posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery
GO:0001111	promoter clearance from RNA polymerase II promoter
GO:0001113	transcriptional open complex formation at RNA polymerase II promoter
GO:0001188	RNA polymerase I transcriptional preinitiation complex assembly
GO:0001193	maintenance of transcriptional fidelity during DNA-templated transcription elongation from RNA polymerase II promoter
GO:0001302	replicative cell aging
GO:0001501	skeletal system development
GO:0001502	cartilage condensation
GO:0001503	ossification
GO:0001505	regulation of neurotransmitter levels
GO:0001510	RNA methylation
GO:0001514	selenocysteine incorporation
GO:0001516	prostaglandin biosynthetic process
GO:0001519	peptide amidation
GO:0001522	pseudouridine synthesis
GO:0001523	retinoid metabolic process
GO:0001525	angiogenesis
GO:0001539	cilium or flagellum-dependent cell motility
GO:0001541	ovarian follicle development
GO:0001555	oocyte growth
GO:0001556	oocyte maturation
GO:0001558	regulation of cell growth
GO:0001561	fatty acid alpha-oxidation
GO:0001568	blood vessel development
GO:0001569	branching involved in blood vessel morphogenesis
GO:0001570	vasculogenesis
GO:0001573	ganglioside metabolic process
GO:0001574	ganglioside biosynthetic process
GO:0001578	microtubule bundle formation
GO:0001579	medium-chain fatty acid transport
GO:0001649	osteoblast differentiation
GO:0001654	eye development
GO:0001655	urogenital system development
GO:0001656	metanephros development
GO:0001657	ureteric bud development
GO:0001658	branching involved in ureteric bud morphogenesis
GO:0001662	behavioral fear response
GO:0001666	response to hypoxia
GO:0001667	ameboidal-type cell migration
GO:0001678	cellular glucose homeostasis
GO:0001682	tRNA 5'-leader removal
GO:0001692	histamine metabolic process
GO:0001695	histamine catabolic process
GO:0001701	in utero embryonic development
GO:0001702	gastrulation with mouth forming second
GO:0001705	ectoderm formation
GO:0001706	endoderm formation
GO:0001707	mesoderm formation
GO:0001708	cell fate specification
GO:0001710	mesodermal cell fate commitment
GO:0001714	endodermal cell fate specification
GO:0001731	formation of translation preinitiation complex
GO:0001732	formation of cytoplasmic translation initiation complex
GO:0001736	establishment of planar polarity
GO:0001738	morphogenesis of a polarized epithelium
GO:0001743	optic placode formation
GO:0001754	eye photoreceptor cell differentiation
GO:0001755	neural crest cell migration
GO:0001756	somitogenesis
GO:0001757	somite specification
GO:0001759	organ induction
GO:0001763	morphogenesis of a branching structure
GO:0001764	neuron migration
GO:0001774	microglial cell activation
GO:0001778	plasma membrane repair
GO:0001779	natural killer cell differentiation
GO:0001780	neutrophil homeostasis
GO:0001782	B cell homeostasis
GO:0001787	natural killer cell proliferation
GO:0001816	cytokine production
GO:0001817	regulation of cytokine production
GO:0001819	positive regulation of cytokine production
GO:0001821	histamine secretion
GO:0001822	kidney development
GO:0001833	inner cell mass cell proliferation
GO:0001836	release of cytochrome c from mitochondria
GO:0001837	epithelial to mesenchymal transition
GO:0001839	neural plate morphogenesis
GO:0001840	neural plate development
GO:0001841	neural tube formation
GO:0001843	neural tube closure
GO:0001845	phagolysosome assembly
GO:0001866	NK T cell proliferation
GO:0001867	complement activation, lectin pathway
GO:0001878	response to yeast
GO:0001881	receptor recycling
GO:0001885	endothelial cell development
GO:0001886	endothelial cell morphogenesis
GO:0001887	selenium compound metabolic process
GO:0001889	liver development
GO:0001894	tissue homeostasis
GO:0001895	retina homeostasis
GO:0001919	regulation of receptor recycling
GO:0001921	positive regulation of receptor recycling
GO:0001927	exocyst assembly
GO:0001932	regulation of protein phosphorylation
GO:0001933	negative regulation of protein phosphorylation
GO:0001934	positive regulation of protein phosphorylation
GO:0001935	endothelial cell proliferation
GO:0001937	negative regulation of endothelial cell proliferation
GO:0001938	positive regulation of endothelial cell proliferation
GO:0001944	vasculature development
GO:0001945	lymph vessel development
GO:0001946	lymphangiogenesis
GO:0001947	heart looping
GO:0001952	regulation of cell-matrix adhesion
GO:0001953	negative regulation of cell-matrix adhesion
GO:0001954	positive regulation of cell-matrix adhesion
GO:0001955	blood vessel maturation
GO:0001957	intramembranous ossification
GO:0001958	endochondral ossification
GO:0001963	synaptic transmission, dopaminergic
GO:0001964	startle response
GO:0001966	thigmotaxis
GO:0001971	negative regulation of activation of membrane attack complex
GO:0001973	adenosine receptor signaling pathway
GO:0001974	blood vessel remodeling
GO:0001975	response to amphetamine
GO:0001992	regulation of systemic arterial blood pressure by vasopressin
GO:0002003	angiotensin maturation
GO:0002009	morphogenesis of an epithelium
GO:0002011	morphogenesis of an epithelial sheet
GO:0002024	diet induced thermogenesis
GO:0002026	regulation of the force of heart contraction
GO:0002027	regulation of heart rate
GO:0002028	regulation of sodium ion transport
GO:0002040	sprouting angiogenesis
GO:0002042	cell migration involved in sprouting angiogenesis
GO:0002043	blood vessel endothelial cell proliferation involved in sprouting angiogenesis
GO:0002052	positive regulation of neuroblast proliferation
GO:0002053	positive regulation of mesenchymal cell proliferation
GO:0002062	chondrocyte differentiation
GO:0002063	chondrocyte development
GO:0002064	epithelial cell development
GO:0002070	epithelial cell maturation
GO:0002072	optic cup morphogenesis involved in camera-type eye development
GO:0002074	extraocular skeletal muscle development
GO:0002076	osteoblast development
GO:0002082	regulation of oxidative phosphorylation
GO:0002084	protein depalmitoylation
GO:0002087	regulation of respiratory gaseous exchange by neurological system process
GO:0002088	lens development in camera-type eye
GO:0002089	lens morphogenesis in camera-type eye
GO:0002090	regulation of receptor internalization
GO:0002092	positive regulation of receptor internalization
GO:0002098	tRNA wobble uridine modification
GO:0002100	tRNA wobble adenosine to inosine editing
GO:0002115	store-operated calcium entry
GO:0002127	tRNA wobble base cytosine methylation
GO:0002128	tRNA nucleoside ribose methylation
GO:0002138	retinoic acid biosynthetic process
GO:0002143	tRNA wobble position uridine thiolation
GO:0002154	thyroid hormone mediated signaling pathway
GO:0002159	desmosome assembly
GO:0002181	cytoplasmic translation
GO:0002183	cytoplasmic translational initiation
GO:0002184	cytoplasmic translational termination
GO:0002188	translation reinitiation
GO:0002191	cap-dependent translational initiation
GO:0002218	activation of innate immune response
GO:0002224	toll-like receptor signaling pathway
GO:0002230	positive regulation of defense response to virus by host
GO:0002232	leukocyte chemotaxis involved in inflammatory response
GO:0002233	leukocyte chemotaxis involved in immune response
GO:0002237	response to molecule of bacterial origin
GO:0002244	hematopoietic progenitor cell differentiation
GO:0002250	adaptive immune response
GO:0002253	activation of immune response
GO:0002260	lymphocyte homeostasis
GO:0002264	endothelial cell activation involved in immune response
GO:0002275	myeloid cell activation involved in immune response
GO:0002281	macrophage activation involved in immune response
GO:0002283	neutrophil activation involved in immune response
GO:0002286	T cell activation involved in immune response
GO:0002320	lymphoid progenitor cell differentiation
GO:0002376	immune system process
GO:0002383	immune response in brain or nervous system
GO:0002407	dendritic cell chemotaxis
GO:0002430	complement receptor mediated signaling pathway
GO:0002446	neutrophil mediated immunity
GO:0002467	germinal center formation
GO:0002468	dendritic cell antigen processing and presentation
GO:0002474	antigen processing and presentation of peptide antigen via MHC class I
GO:0002479	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent
GO:0002521	leukocyte differentiation
GO:0002522	leukocyte migration involved in immune response
GO:0002523	leukocyte migration involved in inflammatory response
GO:0002544	chronic inflammatory response
GO:0002548	monocyte chemotaxis
GO:0002562	somatic diversification of immune receptors via germline recombination within a single locus
GO:0002573	myeloid leukocyte differentiation
GO:0002574	thrombocyte differentiation
GO:0002581	negative regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II
GO:0002605	negative regulation of dendritic cell antigen processing and presentation
GO:0002631	regulation of granuloma formation
GO:0002633	positive regulation of granuloma formation
GO:0002639	positive regulation of immunoglobulin production
GO:0002679	respiratory burst involved in defense response
GO:0002682	regulation of immune system process
GO:0002685	regulation of leukocyte migration
GO:0002688	regulation of leukocyte chemotaxis
GO:0002724	regulation of T cell cytokine production
GO:0002755	MyD88-dependent toll-like receptor signaling pathway
GO:0002756	MyD88-independent toll-like receptor signaling pathway
GO:0002757	immune response-activating signal transduction
GO:0002761	regulation of myeloid leukocyte differentiation
GO:0002768	immune response-regulating cell surface receptor signaling pathway
GO:0002829	negative regulation of type 2 immune response
GO:0002865	negative regulation of acute inflammatory response to antigenic stimulus
GO:0002878	negative regulation of acute inflammatory response to non-antigenic stimulus
GO:0002903	negative regulation of B cell apoptotic process
GO:0002926	tRNA wobble base 5-methoxycarbonylmethyl-2-thiouridinylation
GO:0002931	response to ischemia
GO:0002934	desmosome organization
GO:0002940	tRNA N2-guanine methylation
GO:0002949	tRNA threonylcarbamoyladenosine modification
GO:0003007	heart morphogenesis
GO:0003009	skeletal muscle contraction
GO:0003014	renal system process
GO:0003015	heart process
GO:0003073	regulation of systemic arterial blood pressure
GO:0003081	regulation of systemic arterial blood pressure by renin-angiotensin
GO:0003084	positive regulation of systemic arterial blood pressure
GO:0003085	negative regulation of systemic arterial blood pressure
GO:0003093	regulation of glomerular filtration
GO:0003094	glomerular filtration
GO:0003128	heart field specification
GO:0003131	mesodermal-endodermal cell signaling
GO:0003140	determination of left/right asymmetry in lateral mesoderm
GO:0003142	cardiogenic plate morphogenesis
GO:0003143	embryonic heart tube morphogenesis
GO:0003144	embryonic heart tube formation
GO:0003146	heart jogging
GO:0003147	neural crest cell migration involved in heart formation
GO:0003151	outflow tract morphogenesis
GO:0003157	endocardium development
GO:0003160	endocardium morphogenesis
GO:0003161	cardiac conduction system development
GO:0003170	heart valve development
GO:0003171	atrioventricular valve development
GO:0003181	atrioventricular valve morphogenesis
GO:0003188	heart valve formation
GO:0003190	atrioventricular valve formation
GO:0003197	endocardial cushion development
GO:0003203	endocardial cushion morphogenesis
GO:0003205	cardiac chamber development
GO:0003206	cardiac chamber morphogenesis
GO:0003208	cardiac ventricle morphogenesis
GO:0003209	cardiac atrium morphogenesis
GO:0003210	cardiac atrium formation
GO:0003211	cardiac ventricle formation
GO:0003222	ventricular trabecula myocardium morphogenesis
GO:0003228	atrial cardiac muscle tissue development
GO:0003230	cardiac atrium development
GO:0003231	cardiac ventricle development
GO:0003232	bulbus arteriosus development
GO:0003234	bulbus arteriosus formation
GO:0003250	regulation of cell proliferation involved in heart valve morphogenesis
GO:0003261	cardiac muscle progenitor cell migration to the midline involved in heart field formation
GO:0003262	endocardial progenitor cell migration to the midline involved in heart field formation
GO:0003272	endocardial cushion formation
GO:0003294	atrial ventricular junction remodeling
GO:0003301	physiological cardiac muscle hypertrophy
GO:0003303	BMP signaling pathway involved in heart jogging
GO:0003305	cell migration involved in heart jogging
GO:0003307	regulation of Wnt signaling pathway involved in heart development
GO:0003309	type B pancreatic cell differentiation
GO:0003310	pancreatic A cell differentiation
GO:0003311	pancreatic D cell differentiation
GO:0003313	heart rudiment development
GO:0003314	heart rudiment morphogenesis
GO:0003315	heart rudiment formation
GO:0003317	cardioblast cell midline fusion
GO:0003318	cell migration to the midline involved in heart development
GO:0003319	cardioblast migration to the midline involved in heart rudiment formation
GO:0003322	pancreatic A cell development
GO:0003323	type B pancreatic cell development
GO:0003324	pancreatic D cell development
GO:0003330	regulation of extracellular matrix constituent secretion
GO:0003333	amino acid transmembrane transport
GO:0003334	keratinocyte development
GO:0003341	cilium movement
GO:0003342	proepicardium development
GO:0003344	pericardium morphogenesis
GO:0003347	epicardial cell to mesenchymal cell transition
GO:0003351	epithelial cilium movement
GO:0003352	regulation of cilium movement
GO:0003355	cilium movement involved in otolith formation
GO:0003357	noradrenergic neuron differentiation
GO:0003358	noradrenergic neuron development
GO:0003365	establishment of cell polarity involved in ameboidal cell migration
GO:0003370	cell-cell adhesion involved in mesendodermal cell migration
GO:0003374	dynamin family protein polymerization involved in mitochondrial fission
GO:0003376	sphingosine-1-phosphate receptor signaling pathway
GO:0003379	establishment of cell polarity involved in gastrulation cell migration
GO:0003382	epithelial cell morphogenesis
GO:0003400	regulation of COPII vesicle coating
GO:0003401	axis elongation
GO:0003402	planar cell polarity pathway involved in axis elongation
GO:0003403	optic vesicle formation
GO:0003404	optic vesicle morphogenesis
GO:0003406	retinal pigment epithelium development
GO:0003407	neural retina development
GO:0003408	optic cup formation involved in camera-type eye development
GO:0003412	establishment of epithelial cell apical/basal polarity involved in camera-type eye morphogenesis
GO:0003417	growth plate cartilage development
GO:0003418	growth plate cartilage chondrocyte differentiation
GO:0003419	growth plate cartilage chondrocyte proliferation
GO:0003428	chondrocyte intercalation involved in growth plate cartilage morphogenesis
GO:0003429	growth plate cartilage chondrocyte morphogenesis
GO:0005513	detection of calcium ion
GO:0005975	carbohydrate metabolic process
GO:0005977	glycogen metabolic process
GO:0005978	glycogen biosynthetic process
GO:0005980	glycogen catabolic process
GO:0005981	regulation of glycogen catabolic process
GO:0005986	sucrose biosynthetic process
GO:0005991	trehalose metabolic process
GO:0005993	trehalose catabolic process
GO:0005996	monosaccharide metabolic process
GO:0005997	xylulose metabolic process
GO:0006000	fructose metabolic process
GO:0006002	fructose 6-phosphate metabolic process
GO:0006003	fructose 2,6-bisphosphate metabolic process
GO:0006004	fucose metabolic process
GO:0006006	glucose metabolic process
GO:0006007	glucose catabolic process
GO:0006011	UDP-glucose metabolic process
GO:0006012	galactose metabolic process
GO:0006013	mannose metabolic process
GO:0006014	D-ribose metabolic process
GO:0006015	5-phosphoribose 1-diphosphate biosynthetic process
GO:0006020	inositol metabolic process
GO:0006021	inositol biosynthetic process
GO:0006024	glycosaminoglycan biosynthetic process
GO:0006027	glycosaminoglycan catabolic process
GO:0006030	chitin metabolic process
GO:0006031	chitin biosynthetic process
GO:0006032	chitin catabolic process
GO:0006043	glucosamine catabolic process
GO:0006044	N-acetylglucosamine metabolic process
GO:0006045	N-acetylglucosamine biosynthetic process
GO:0006046	N-acetylglucosamine catabolic process
GO:0006047	UDP-N-acetylglucosamine metabolic process
GO:0006048	UDP-N-acetylglucosamine biosynthetic process
GO:0006051	N-acetylmannosamine metabolic process
GO:0006054	N-acetylneuraminate metabolic process
GO:0006066	alcohol metabolic process
GO:0006067	ethanol metabolic process
GO:0006069	ethanol oxidation
GO:0006071	glycerol metabolic process
GO:0006072	glycerol-3-phosphate metabolic process
GO:0006081	cellular aldehyde metabolic process
GO:0006082	organic acid metabolic process
GO:0006084	acetyl-CoA metabolic process
GO:0006085	acetyl-CoA biosynthetic process
GO:0006086	acetyl-CoA biosynthetic process from pyruvate
GO:0006090	pyruvate metabolic process
GO:0006091	generation of precursor metabolites and energy
GO:0006094	gluconeogenesis
GO:0006096	glycolytic process
GO:0006097	glyoxylate cycle
GO:0006098	pentose-phosphate shunt
GO:0006099	tricarboxylic acid cycle
GO:0006101	citrate metabolic process
GO:0006102	isocitrate metabolic process
GO:0006103	2-oxoglutarate metabolic process
GO:0006104	succinyl-CoA metabolic process
GO:0006105	succinate metabolic process
GO:0006106	fumarate metabolic process
GO:0006107	oxaloacetate metabolic process
GO:0006108	malate metabolic process
GO:0006110	regulation of glycolytic process
GO:0006111	regulation of gluconeogenesis
GO:0006112	energy reserve metabolic process
GO:0006116	NADH oxidation
GO:0006119	oxidative phosphorylation
GO:0006120	mitochondrial electron transport, NADH to ubiquinone
GO:0006121	mitochondrial electron transport, succinate to ubiquinone
GO:0006122	mitochondrial electron transport, ubiquinol to cytochrome c
GO:0006123	mitochondrial electron transport, cytochrome c to oxygen
GO:0006139	nucleobase-containing compound metabolic process
GO:0006144	purine nucleobase metabolic process
GO:0006145	purine nucleobase catabolic process
GO:0006147	guanine catabolic process
GO:0006154	adenosine catabolic process
GO:0006163	purine nucleotide metabolic process
GO:0006164	purine nucleotide biosynthetic process
GO:0006165	nucleoside diphosphate phosphorylation
GO:0006166	purine ribonucleoside salvage
GO:0006167	AMP biosynthetic process
GO:0006168	adenine salvage
GO:0006171	cAMP biosynthetic process
GO:0006172	ADP biosynthetic process
GO:0006177	GMP biosynthetic process
GO:0006178	guanine salvage
GO:0006182	cGMP biosynthetic process
GO:0006183	GTP biosynthetic process
GO:0006189	'de novo' IMP biosynthetic process
GO:0006203	dGTP catabolic process
GO:0006206	pyrimidine nucleobase metabolic process
GO:0006207	'de novo' pyrimidine nucleobase biosynthetic process
GO:0006210	thymine catabolic process
GO:0006211	5-methylcytosine catabolic process
GO:0006212	uracil catabolic process
GO:0006214	thymidine catabolic process
GO:0006220	pyrimidine nucleotide metabolic process
GO:0006221	pyrimidine nucleotide biosynthetic process
GO:0006226	dUMP biosynthetic process
GO:0006227	dUDP biosynthetic process
GO:0006228	UTP biosynthetic process
GO:0006231	dTMP biosynthetic process
GO:0006233	dTDP biosynthetic process
GO:0006235	dTTP biosynthetic process
GO:0006238	CMP salvage
GO:0006241	CTP biosynthetic process
GO:0006259	DNA metabolic process
GO:0006260	DNA replication
GO:0006261	DNA-dependent DNA replication
GO:0006264	mitochondrial DNA replication
GO:0006265	DNA topological change
GO:0006267	pre-replicative complex assembly involved in nuclear cell cycle DNA replication
GO:0006268	DNA unwinding involved in DNA replication
GO:0006269	DNA replication, synthesis of RNA primer
GO:0006270	DNA replication initiation
GO:0006271	DNA strand elongation involved in DNA replication
GO:0006272	leading strand elongation
GO:0006273	lagging strand elongation
GO:0006275	regulation of DNA replication
GO:0006281	DNA repair
GO:0006282	regulation of DNA repair
GO:0006283	transcription-coupled nucleotide-excision repair
GO:0006284	base-excision repair
GO:0006285	base-excision repair, AP site formation
GO:0006287	base-excision repair, gap-filling
GO:0006288	base-excision repair, DNA ligation
GO:0006289	nucleotide-excision repair
GO:0006290	pyrimidine dimer repair
GO:0006295	nucleotide-excision repair, DNA incision, 3'-to lesion
GO:0006296	nucleotide-excision repair, DNA incision, 5'-to lesion
GO:0006297	nucleotide-excision repair, DNA gap filling
GO:0006298	mismatch repair
GO:0006301	postreplication repair
GO:0006302	double-strand break repair
GO:0006303	double-strand break repair via nonhomologous end joining
GO:0006306	DNA methylation
GO:0006307	DNA dealkylation involved in DNA repair
GO:0006308	DNA catabolic process
GO:0006309	apoptotic DNA fragmentation
GO:0006310	DNA recombination
GO:0006311	meiotic gene conversion
GO:0006312	mitotic recombination
GO:0006313	transposition, DNA-mediated
GO:0006325	chromatin organization
GO:0006333	chromatin assembly or disassembly
GO:0006334	nucleosome assembly
GO:0006335	DNA replication-dependent nucleosome assembly
GO:0006336	DNA replication-independent nucleosome assembly
GO:0006337	nucleosome disassembly
GO:0006338	chromatin remodeling
GO:0006342	chromatin silencing
GO:0006346	methylation-dependent chromatin silencing
GO:0006348	chromatin silencing at telomere
GO:0006349	regulation of gene expression by genetic imprinting
GO:0006351	transcription, DNA-templated
GO:0006352	DNA-templated transcription, initiation
GO:0006355	regulation of transcription, DNA-templated
GO:0006356	regulation of transcription by RNA polymerase I
GO:0006357	regulation of transcription by RNA polymerase II
GO:0006359	regulation of transcription by RNA polymerase III
GO:0006360	transcription by RNA polymerase I
GO:0006361	transcription initiation from RNA polymerase I promoter
GO:0006363	termination of RNA polymerase I transcription
GO:0006364	rRNA processing
GO:0006366	transcription by RNA polymerase II
GO:0006367	transcription initiation from RNA polymerase II promoter
GO:0006368	transcription elongation from RNA polymerase II promoter
GO:0006369	termination of RNA polymerase II transcription
GO:0006370	7-methylguanosine mRNA capping
GO:0006376	mRNA splice site selection
GO:0006378	mRNA polyadenylation
GO:0006379	mRNA cleavage
GO:0006382	adenosine to inosine editing
GO:0006383	transcription by RNA polymerase III
GO:0006384	transcription initiation from RNA polymerase III promoter
GO:0006386	termination of RNA polymerase III transcription
GO:0006388	tRNA splicing, via endonucleolytic cleavage and ligation
GO:0006390	mitochondrial transcription
GO:0006391	transcription initiation from mitochondrial promoter
GO:0006392	transcription elongation from mitochondrial promoter
GO:0006393	termination of mitochondrial transcription
GO:0006396	RNA processing
GO:0006397	mRNA processing
GO:0006398	mRNA 3'-end processing by stem-loop binding and cleavage
GO:0006399	tRNA metabolic process
GO:0006400	tRNA modification
GO:0006401	RNA catabolic process
GO:0006402	mRNA catabolic process
GO:0006405	RNA export from nucleus
GO:0006406	mRNA export from nucleus
GO:0006407	rRNA export from nucleus
GO:0006408	snRNA export from nucleus
GO:0006409	tRNA export from nucleus
GO:0006412	translation
GO:0006413	translational initiation
GO:0006414	translational elongation
GO:0006415	translational termination
GO:0006417	regulation of translation
GO:0006418	tRNA aminoacylation for protein translation
GO:0006419	alanyl-tRNA aminoacylation
GO:0006420	arginyl-tRNA aminoacylation
GO:0006421	asparaginyl-tRNA aminoacylation
GO:0006422	aspartyl-tRNA aminoacylation
GO:0006423	cysteinyl-tRNA aminoacylation
GO:0006424	glutamyl-tRNA aminoacylation
GO:0006425	glutaminyl-tRNA aminoacylation
GO:0006426	glycyl-tRNA aminoacylation
GO:0006427	histidyl-tRNA aminoacylation
GO:0006428	isoleucyl-tRNA aminoacylation
GO:0006429	leucyl-tRNA aminoacylation
GO:0006430	lysyl-tRNA aminoacylation
GO:0006431	methionyl-tRNA aminoacylation
GO:0006432	phenylalanyl-tRNA aminoacylation
GO:0006433	prolyl-tRNA aminoacylation
GO:0006434	seryl-tRNA aminoacylation
GO:0006435	threonyl-tRNA aminoacylation
GO:0006436	tryptophanyl-tRNA aminoacylation
GO:0006437	tyrosyl-tRNA aminoacylation
GO:0006438	valyl-tRNA aminoacylation
GO:0006446	regulation of translational initiation
GO:0006449	regulation of translational termination
GO:0006450	regulation of translational fidelity
GO:0006452	translational frameshifting
GO:0006457	protein folding
GO:0006458	'de novo' protein folding
GO:0006464	cellular protein modification process
GO:0006465	signal peptide processing
GO:0006468	protein phosphorylation
GO:0006469	negative regulation of protein kinase activity
GO:0006470	protein dephosphorylation
GO:0006471	protein ADP-ribosylation
GO:0006474	N-terminal protein amino acid acetylation
GO:0006476	protein deacetylation
GO:0006478	peptidyl-tyrosine sulfation
GO:0006479	protein methylation
GO:0006480	N-terminal protein amino acid methylation
GO:0006481	C-terminal protein methylation
