GO_IDs	GO_terms
GO:0001609	G-protein coupled adenosine receptor activity
GO:0001614	purinergic nucleotide receptor activity
GO:0001616	growth hormone secretagogue receptor activity
GO:0001618	virus receptor activity
GO:0001626	nociceptin receptor activity
GO:0001632	leukotriene B4 receptor activity
GO:0001637	G-protein coupled chemoattractant receptor activity
GO:0001642	group III metabotropic glutamate receptor activity
GO:0001648	proteinase activated receptor activity
GO:0001653	peptide receptor activity
GO:0001664	G-protein coupled receptor binding
GO:0001665	alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase activity
GO:0001671	ATPase activator activity
GO:0001681	sialate O-acetylesterase activity
GO:0001716	L-amino-acid oxidase activity
GO:0001733	galactosylceramide sulfotransferase activity
GO:0001734	mRNA (N6-adenosine)-methyltransferase activity
GO:0001735	prenylcysteine oxidase activity
GO:0001760	aminocarboxymuconate-semialdehyde decarboxylase activity
GO:0001784	phosphotyrosine residue binding
GO:0001786	phosphatidylserine binding
GO:0001882	nucleoside binding
GO:0001888	glucuronyl-galactosyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase activity
GO:0001965	G-protein alpha-subunit binding
GO:0001968	fibronectin binding
GO:0001972	retinoic acid binding
GO:0002020	protease binding
GO:0002039	p53 binding
GO:0002055	adenine binding
GO:0002058	uracil binding
GO:0002083	4-hydroxybenzoate decaprenyltransferase activity
GO:0002094	polyprenyltransferase activity
GO:0002135	CTP binding
GO:0002151	G-quadruplex RNA binding
GO:0002161	aminoacyl-tRNA editing activity
GO:0002162	dystroglycan binding
GO:0002196	Ser-tRNA(Ala) hydrolase activity
GO:0002951	leukotriene-C(4) hydrolase
GO:0002953	5'-deoxynucleotidase activity
GO:0003674	molecular_function
GO:0003676	nucleic acid binding
GO:0003677	DNA binding
GO:0003678	DNA helicase activity
GO:0003680	AT DNA binding
GO:0003682	chromatin binding
GO:0003684	damaged DNA binding
GO:0003688	DNA replication origin binding
GO:0003689	DNA clamp loader activity
GO:0003690	double-stranded DNA binding
GO:0003691	double-stranded telomeric DNA binding
GO:0003697	single-stranded DNA binding
GO:0003700	DNA-binding transcription factor activity
GO:0003705	transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding
GO:0003707	steroid hormone receptor activity
GO:0003708	retinoic acid receptor activity
GO:0003712	transcription coregulator activity
GO:0003713	transcription coactivator activity
GO:0003714	transcription corepressor activity
GO:0003720	telomerase activity
GO:0003721	telomerase RNA reverse transcriptase activity
GO:0003723	RNA binding
GO:0003724	RNA helicase activity
GO:0003725	double-stranded RNA binding
GO:0003726	double-stranded RNA adenosine deaminase activity
GO:0003727	single-stranded RNA binding
GO:0003729	mRNA binding
GO:0003730	mRNA 3'-UTR binding
GO:0003735	structural constituent of ribosome
GO:0003743	translation initiation factor activity
GO:0003746	translation elongation factor activity
GO:0003747	translation release factor activity
GO:0003755	peptidyl-prolyl cis-trans isomerase activity
GO:0003756	protein disulfide isomerase activity
GO:0003774	motor activity
GO:0003777	microtubule motor activity
GO:0003779	actin binding
GO:0003785	actin monomer binding
GO:0003796	lysozyme activity
GO:0003810	protein-glutamine gamma-glutamyltransferase activity
GO:0003823	antigen binding
GO:0003824	catalytic activity
GO:0003826	alpha-ketoacid dehydrogenase activity
GO:0003827	alpha-1,3-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity
GO:0003828	alpha-N-acetylneuraminate alpha-2,8-sialyltransferase activity
GO:0003829	beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity
GO:0003830	beta-1,4-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity
GO:0003834	beta-carotene 15,15'-monooxygenase activity
GO:0003835	beta-galactoside alpha-2,6-sialyltransferase activity
GO:0003836	beta-galactoside (CMP) alpha-2,3-sialyltransferase activity
GO:0003837	beta-ureidopropionase activity
GO:0003839	gamma-glutamylcyclotransferase activity
GO:0003841	1-acylglycerol-3-phosphate O-acyltransferase activity
GO:0003842	1-pyrroline-5-carboxylate dehydrogenase activity
GO:0003844	1,4-alpha-glucan branching enzyme activity
GO:0003845	11-beta-hydroxysteroid dehydrogenase [NAD(P)] activity
GO:0003847	1-alkyl-2-acetylglycerophosphocholine esterase activity
GO:0003854	3-beta-hydroxy-delta5-steroid dehydrogenase activity
GO:0003857	3-hydroxyacyl-CoA dehydrogenase activity
GO:0003858	3-hydroxybutyrate dehydrogenase activity
GO:0003860	3-hydroxyisobutyryl-CoA hydrolase activity
GO:0003863	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity
GO:0003865	3-oxo-5-alpha-steroid 4-dehydrogenase activity
GO:0003867	4-aminobutyrate transaminase activity
GO:0003868	4-hydroxyphenylpyruvate dioxygenase activity
GO:0003870	5-aminolevulinate synthase activity
GO:0003872	6-phosphofructokinase activity
GO:0003873	6-phosphofructo-2-kinase activity
GO:0003874	6-pyruvoyltetrahydropterin synthase activity
GO:0003875	ADP-ribosylarginine hydrolase activity
GO:0003876	AMP deaminase activity
GO:0003878	ATP citrate synthase activity
GO:0003881	CDP-diacylglycerol-inositol 3-phosphatidyltransferase activity
GO:0003883	CTP synthase activity
GO:0003884	D-amino-acid oxidase activity
GO:0003886	DNA (cytosine-5-)-methyltransferase activity
GO:0003887	DNA-directed DNA polymerase activity
GO:0003896	DNA primase activity
GO:0003899	DNA-directed 5'-3' RNA polymerase activity
GO:0003904	deoxyribodipyrimidine photo-lyase activity
GO:0003905	alkylbase DNA N-glycosylase activity
GO:0003906	DNA-(apurinic or apyrimidinic site) endonuclease activity
GO:0003908	methylated-DNA-[protein]-cysteine S-methyltransferase activity
GO:0003909	DNA ligase activity
GO:0003910	DNA ligase (ATP) activity
GO:0003912	DNA nucleotidylexotransferase activity
GO:0003916	DNA topoisomerase activity
GO:0003917	DNA topoisomerase type I activity
GO:0003918	DNA topoisomerase type II (ATP-hydrolyzing) activity
GO:0003919	FMN adenylyltransferase activity
GO:0003920	GMP reductase activity
GO:0003921	GMP synthase activity
GO:0003922	GMP synthase (glutamine-hydrolyzing) activity
GO:0003923	GPI-anchor transamidase activity
GO:0003924	GTPase activity
GO:0003934	GTP cyclohydrolase I activity
GO:0003937	IMP cyclohydrolase activity
GO:0003938	IMP dehydrogenase activity
GO:0003940	L-iduronidase activity
GO:0003941	L-serine ammonia-lyase activity
GO:0003948	N4-(beta-N-acetylglucosaminyl)-L-asparaginase activity
GO:0003950	NAD+ ADP-ribosyltransferase activity
GO:0003951	NAD+ kinase activity
GO:0003952	NAD+ synthase (glutamine-hydrolyzing) activity
GO:0003954	NADH dehydrogenase activity
GO:0003955	NAD(P)H dehydrogenase (quinone) activity
GO:0003956	NAD(P)+-protein-arginine ADP-ribosyltransferase activity
GO:0003958	NADPH-hemoprotein reductase activity
GO:0003960	NADPH:quinone reductase activity
GO:0003962	cystathionine gamma-synthase activity
GO:0003963	RNA-3'-phosphate cyclase activity
GO:0003964	RNA-directed DNA polymerase activity
GO:0003972	RNA ligase (ATP) activity
GO:0003973	(S)-2-hydroxy-acid oxidase activity
GO:0003975	UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity
GO:0003976	UDP-N-acetylglucosamine-lysosomal-enzyme N-acetylglucosaminephosphotransferase activity
GO:0003977	UDP-N-acetylglucosamine diphosphorylase activity
GO:0003978	UDP-glucose 4-epimerase activity
GO:0003979	UDP-glucose 6-dehydrogenase activity
GO:0003980	UDP-glucose:glycoprotein glucosyltransferase activity
GO:0003983	UTP:glucose-1-phosphate uridylyltransferase activity
GO:0003985	acetyl-CoA C-acetyltransferase activity
GO:0003987	acetate-CoA ligase activity
GO:0003988	acetyl-CoA C-acyltransferase activity
GO:0003989	acetyl-CoA carboxylase activity
GO:0003990	acetylcholinesterase activity
GO:0003993	acid phosphatase activity
GO:0003994	aconitate hydratase activity
GO:0003995	acyl-CoA dehydrogenase activity
GO:0003996	acyl-CoA ligase activity
GO:0003997	acyl-CoA oxidase activity
GO:0003998	acylphosphatase activity
GO:0003999	adenine phosphoribosyltransferase activity
GO:0004000	adenosine deaminase activity
GO:0004001	adenosine kinase activity
GO:0004003	ATP-dependent DNA helicase activity
GO:0004004	ATP-dependent RNA helicase activity
GO:0004008	copper-exporting ATPase activity
GO:0004012	phospholipid-translocating ATPase activity
GO:0004013	adenosylhomocysteinase activity
GO:0004014	adenosylmethionine decarboxylase activity
GO:0004016	adenylate cyclase activity
GO:0004017	adenylate kinase activity
GO:0004018	N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity
GO:0004019	adenylosuccinate synthase activity
GO:0004020	adenylylsulfate kinase activity
GO:0004021	L-alanine:2-oxoglutarate aminotransferase activity
GO:0004022	alcohol dehydrogenase (NAD) activity
GO:0004028	3-chloroallyl aldehyde dehydrogenase activity
GO:0004029	aldehyde dehydrogenase (NAD) activity
GO:0004032	alditol:NADP+ 1-oxidoreductase activity
GO:0004034	aldose 1-epimerase activity
GO:0004035	alkaline phosphatase activity
GO:0004037	allantoicase activity
GO:0004038	allantoinase activity
GO:0004040	amidase activity
GO:0004043	L-aminoadipate-semialdehyde dehydrogenase activity
GO:0004044	amidophosphoribosyltransferase activity
GO:0004045	aminoacyl-tRNA hydrolase activity
GO:0004046	aminoacylase activity
GO:0004047	aminomethyltransferase activity
GO:0004051	arachidonate 5-lipoxygenase activity
GO:0004052	arachidonate 12-lipoxygenase activity
GO:0004053	arginase activity
GO:0004055	argininosuccinate synthase activity
GO:0004056	argininosuccinate lyase activity
GO:0004059	aralkylamine N-acetyltransferase activity
GO:0004060	arylamine N-acetyltransferase activity
GO:0004061	arylformamidase activity
GO:0004064	arylesterase activity
GO:0004065	arylsulfatase activity
GO:0004066	asparagine synthase (glutamine-hydrolyzing) activity
GO:0004067	asparaginase activity
GO:0004069	L-aspartate:2-oxoglutarate aminotransferase activity
GO:0004070	aspartate carbamoyltransferase activity
GO:0004074	biliverdin reductase activity
GO:0004077	biotin-[acetyl-CoA-carboxylase] ligase activity
GO:0004082	bisphosphoglycerate mutase activity
GO:0004083	bisphosphoglycerate 2-phosphatase activity
GO:0004084	branched-chain-amino-acid transaminase activity
GO:0004085	butyryl-CoA dehydrogenase activity
GO:0004087	carbamoyl-phosphate synthase (ammonia) activity
GO:0004088	carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity
GO:0004089	carbonate dehydratase activity
GO:0004090	carbonyl reductase (NADPH) activity
GO:0004092	carnitine O-acetyltransferase activity
GO:0004095	carnitine O-palmitoyltransferase activity
GO:0004096	catalase activity
GO:0004097	catechol oxidase activity
GO:0004100	chitin synthase activity
GO:0004102	choline O-acetyltransferase activity
GO:0004104	cholinesterase activity
GO:0004105	choline-phosphate cytidylyltransferase activity
GO:0004108	citrate (Si)-synthase activity
GO:0004109	coproporphyrinogen oxidase activity
GO:0004111	creatine kinase activity
GO:0004113	2',3'-cyclic-nucleotide 3'-phosphodiesterase activity
GO:0004114	3',5'-cyclic-nucleotide phosphodiesterase activity
GO:0004122	cystathionine beta-synthase activity
GO:0004123	cystathionine gamma-lyase activity
GO:0004124	cysteine synthase activity
GO:0004126	cytidine deaminase activity
GO:0004127	cytidylate kinase activity
GO:0004128	cytochrome-b5 reductase activity, acting on NAD(P)H
GO:0004129	cytochrome-c oxidase activity
GO:0004132	dCMP deaminase activity
GO:0004134	4-alpha-glucanotransferase activity
GO:0004135	amylo-alpha-1,6-glucosidase activity
GO:0004137	deoxycytidine kinase activity
GO:0004138	deoxyguanosine kinase activity
GO:0004139	deoxyribose-phosphate aldolase activity
GO:0004140	dephospho-CoA kinase activity
GO:0004142	diacylglycerol cholinephosphotransferase activity
GO:0004143	diacylglycerol kinase activity
GO:0004144	diacylglycerol O-acyltransferase activity
GO:0004145	diamine N-acetyltransferase activity
GO:0004146	dihydrofolate reductase activity
GO:0004148	dihydrolipoyl dehydrogenase activity
GO:0004149	dihydrolipoyllysine-residue succinyltransferase activity
GO:0004151	dihydroorotase activity
GO:0004152	dihydroorotate dehydrogenase activity
GO:0004155	6,7-dihydropteridine reductase activity
GO:0004159	dihydrouracil dehydrogenase (NAD+) activity
GO:0004161	dimethylallyltranstransferase activity
GO:0004163	diphosphomevalonate decarboxylase activity
GO:0004164	diphthine synthase activity
GO:0004167	dopachrome isomerase activity
GO:0004168	dolichol kinase activity
GO:0004169	dolichyl-phosphate-mannose-protein mannosyltransferase activity
GO:0004170	dUTP diphosphatase activity
GO:0004174	electron-transferring-flavoprotein dehydrogenase activity
GO:0004175	endopeptidase activity
GO:0004176	ATP-dependent peptidase activity
GO:0004177	aminopeptidase activity
GO:0004180	carboxypeptidase activity
GO:0004181	metallocarboxypeptidase activity
GO:0004185	serine-type carboxypeptidase activity
GO:0004190	aspartic-type endopeptidase activity
GO:0004197	cysteine-type endopeptidase activity
GO:0004198	calcium-dependent cysteine-type endopeptidase activity
GO:0004222	metalloendopeptidase activity
GO:0004252	serine-type endopeptidase activity
GO:0004298	threonine-type endopeptidase activity
GO:0004300	enoyl-CoA hydratase activity
GO:0004301	epoxide hydrolase activity
GO:0004303	estradiol 17-beta-dehydrogenase activity
GO:0004304	estrone sulfotransferase activity
GO:0004307	ethanolaminephosphotransferase activity
GO:0004308	exo-alpha-sialidase activity
GO:0004309	exopolyphosphatase activity
GO:0004310	farnesyl-diphosphate farnesyltransferase activity
GO:0004312	fatty acid synthase activity
GO:0004321	fatty-acyl-CoA synthase activity
GO:0004322	ferroxidase activity
GO:0004325	ferrochelatase activity
GO:0004326	tetrahydrofolylpolyglutamate synthase activity
GO:0004329	formate-tetrahydrofolate ligase activity
GO:0004331	fructose-2,6-bisphosphate 2-phosphatase activity
GO:0004332	fructose-bisphosphate aldolase activity
GO:0004333	fumarate hydratase activity
GO:0004334	fumarylacetoacetase activity
GO:0004335	galactokinase activity
GO:0004336	galactosylceramidase activity
GO:0004337	geranyltranstransferase activity
GO:0004340	glucokinase activity
GO:0004341	gluconolactonase activity
GO:0004342	glucosamine-6-phosphate deaminase activity
GO:0004343	glucosamine 6-phosphate N-acetyltransferase activity
GO:0004345	glucose-6-phosphate dehydrogenase activity
GO:0004346	glucose-6-phosphatase activity
GO:0004347	glucose-6-phosphate isomerase activity
GO:0004348	glucosylceramidase activity
GO:0004349	glutamate 5-kinase activity
GO:0004350	glutamate-5-semialdehyde dehydrogenase activity
GO:0004351	glutamate decarboxylase activity
GO:0004356	glutamate-ammonia ligase activity
GO:0004357	glutamate-cysteine ligase activity
GO:0004359	glutaminase activity
GO:0004360	glutamine-fructose-6-phosphate transaminase (isomerizing) activity
GO:0004362	glutathione-disulfide reductase activity
GO:0004363	glutathione synthase activity
GO:0004364	glutathione transferase activity
GO:0004365	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity
GO:0004366	glycerol-3-phosphate O-acyltransferase activity
GO:0004367	glycerol-3-phosphate dehydrogenase [NAD+] activity
GO:0004368	glycerol-3-phosphate dehydrogenase (quinone) activity
GO:0004370	glycerol kinase activity
GO:0004371	glycerone kinase activity
GO:0004372	glycine hydroxymethyltransferase activity
GO:0004373	glycogen (starch) synthase activity
GO:0004375	glycine dehydrogenase (decarboxylating) activity
GO:0004376	glycolipid mannosyltransferase activity
GO:0004377	GDP-Man:Man3GlcNAc2-PP-Dol alpha-1,2-mannosyltransferase activity
GO:0004378	GDP-Man:Man1GlcNAc2-PP-Dol alpha-1,3-mannosyltransferase activity
GO:0004379	glycylpeptide N-tetradecanoyltransferase activity
GO:0004382	guanosine-diphosphatase activity
GO:0004383	guanylate cyclase activity
GO:0004385	guanylate kinase activity
GO:0004386	helicase activity
GO:0004392	heme oxygenase (decyclizing) activity
GO:0004394	heparan sulfate 2-O-sulfotransferase activity
GO:0004395	hexaprenyldihydroxybenzoate methyltransferase activity
GO:0004396	hexokinase activity
GO:0004397	histidine ammonia-lyase activity
GO:0004402	histone acetyltransferase activity
GO:0004407	histone deacetylase activity
GO:0004408	holocytochrome-c synthase activity
GO:0004411	homogentisate 1,2-dioxygenase activity
GO:0004415	hyalurononglucosaminidase activity
GO:0004416	hydroxyacylglutathione hydrolase activity
GO:0004418	hydroxymethylbilane synthase activity
GO:0004419	hydroxymethylglutaryl-CoA lyase activity
GO:0004420	hydroxymethylglutaryl-CoA reductase (NADPH) activity
GO:0004421	hydroxymethylglutaryl-CoA synthase activity
GO:0004422	hypoxanthine phosphoribosyltransferase activity
GO:0004423	iduronate-2-sulfatase activity
GO:0004427	inorganic diphosphatase activity
GO:0004430	1-phosphatidylinositol 4-kinase activity
GO:0004435	phosphatidylinositol phospholipase C activity
GO:0004438	phosphatidylinositol-3-phosphatase activity
GO:0004439	phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity
GO:0004445	inositol-polyphosphate 5-phosphatase activity
GO:0004449	isocitrate dehydrogenase (NAD+) activity
GO:0004450	isocitrate dehydrogenase (NADP+) activity
GO:0004452	isopentenyl-diphosphate delta-isomerase activity
GO:0004454	ketohexokinase activity
GO:0004458	D-lactate dehydrogenase (cytochrome) activity
GO:0004459	L-lactate dehydrogenase activity
GO:0004461	lactose synthase activity
GO:0004462	lactoylglutathione lyase activity
GO:0004463	leukotriene-A4 hydrolase activity
GO:0004464	leukotriene-C4 synthase activity
GO:0004465	lipoprotein lipase activity
GO:0004466	long-chain-acyl-CoA dehydrogenase activity
GO:0004467	long-chain fatty acid-CoA ligase activity
GO:0004468	lysine N-acetyltransferase activity, acting on acetyl phosphate as donor
GO:0004470	malic enzyme activity
GO:0004471	malate dehydrogenase (decarboxylating) (NAD+) activity
GO:0004473	malate dehydrogenase (decarboxylating) (NADP+) activity
GO:0004474	malate synthase activity
GO:0004475	mannose-1-phosphate guanylyltransferase activity
GO:0004476	mannose-6-phosphate isomerase activity
GO:0004477	methenyltetrahydrofolate cyclohydrolase activity
GO:0004478	methionine adenosyltransferase activity
GO:0004479	methionyl-tRNA formyltransferase activity
GO:0004482	mRNA (guanine-N7-)-methyltransferase activity
GO:0004483	mRNA (nucleoside-2'-O-)-methyltransferase activity
GO:0004484	mRNA guanylyltransferase activity
GO:0004485	methylcrotonoyl-CoA carboxylase activity
GO:0004487	methylenetetrahydrofolate dehydrogenase (NAD+) activity
GO:0004488	methylenetetrahydrofolate dehydrogenase (NADP+) activity
GO:0004489	methylenetetrahydrofolate reductase (NAD(P)H) activity
GO:0004491	methylmalonate-semialdehyde dehydrogenase (acylating) activity
GO:0004492	methylmalonyl-CoA decarboxylase activity
GO:0004493	methylmalonyl-CoA epimerase activity
GO:0004494	methylmalonyl-CoA mutase activity
GO:0004496	mevalonate kinase activity
GO:0004497	monooxygenase activity
GO:0004498	calcidiol 1-monooxygenase activity
GO:0004499	N,N-dimethylaniline monooxygenase activity
GO:0004500	dopamine beta-monooxygenase activity
GO:0004502	kynurenine 3-monooxygenase activity
GO:0004503	monophenol monooxygenase activity
GO:0004504	peptidylglycine monooxygenase activity
GO:0004505	phenylalanine 4-monooxygenase activity
GO:0004506	squalene monooxygenase activity
GO:0004508	steroid 17-alpha-monooxygenase activity
GO:0004510	tryptophan 5-monooxygenase activity
GO:0004511	tyrosine 3-monooxygenase activity
GO:0004514	nicotinate-nucleotide diphosphorylase (carboxylating) activity
GO:0004515	nicotinate-nucleotide adenylyltransferase activity
GO:0004517	nitric-oxide synthase activity
GO:0004518	nuclease activity
GO:0004519	endonuclease activity
GO:0004520	endodeoxyribonuclease activity
GO:0004521	endoribonuclease activity
GO:0004523	RNA-DNA hybrid ribonuclease activity
GO:0004525	ribonuclease III activity
GO:0004526	ribonuclease P activity
GO:0004527	exonuclease activity
GO:0004528	phosphodiesterase I activity
GO:0004530	deoxyribonuclease I activity
GO:0004531	deoxyribonuclease II activity
GO:0004534	5'-3' exoribonuclease activity
GO:0004535	poly(A)-specific ribonuclease activity
GO:0004536	deoxyribonuclease activity
GO:0004540	ribonuclease activity
GO:0004550	nucleoside diphosphate kinase activity
GO:0004551	nucleotide diphosphatase activity
GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
GO:0004555	alpha,alpha-trehalase activity
GO:0004556	alpha-amylase activity
GO:0004557	alpha-galactosidase activity
GO:0004559	alpha-mannosidase activity
GO:0004560	alpha-L-fucosidase activity
GO:0004563	beta-N-acetylhexosaminidase activity
GO:0004565	beta-galactosidase activity
GO:0004566	beta-glucuronidase activity
GO:0004567	beta-mannosidase activity
GO:0004568	chitinase activity
GO:0004571	mannosyl-oligosaccharide 1,2-alpha-mannosidase activity
GO:0004573	mannosyl-oligosaccharide glucosidase activity
GO:0004576	oligosaccharyl transferase activity
GO:0004579	dolichyl-diphosphooligosaccharide-protein glycotransferase activity
GO:0004582	dolichyl-phosphate beta-D-mannosyltransferase activity
GO:0004583	dolichyl-phosphate-glucose-glycolipid alpha-glucosyltransferase activity
GO:0004584	dolichyl-phosphate-mannose-glycolipid alpha-mannosyltransferase activity
GO:0004586	ornithine decarboxylase activity
GO:0004587	ornithine-oxo-acid transaminase activity
GO:0004588	orotate phosphoribosyltransferase activity
GO:0004590	orotidine-5'-phosphate decarboxylase activity
GO:0004591	oxoglutarate dehydrogenase (succinyl-transferring) activity
GO:0004594	pantothenate kinase activity
GO:0004595	pantetheine-phosphate adenylyltransferase activity
GO:0004596	peptide alpha-N-acetyltransferase activity
GO:0004597	peptide-aspartate beta-dioxygenase activity
GO:0004598	peptidylamidoglycolate lyase activity
GO:0004601	peroxidase activity
GO:0004602	glutathione peroxidase activity
GO:0004605	phosphatidate cytidylyltransferase activity
GO:0004608	phosphatidylethanolamine N-methyltransferase activity
GO:0004609	phosphatidylserine decarboxylase activity
GO:0004610	phosphoacetylglucosamine mutase activity
GO:0004611	phosphoenolpyruvate carboxykinase activity
GO:0004613	phosphoenolpyruvate carboxykinase (GTP) activity
GO:0004614	phosphoglucomutase activity
GO:0004615	phosphomannomutase activity
GO:0004616	phosphogluconate dehydrogenase (decarboxylating) activity
GO:0004617	phosphoglycerate dehydrogenase activity
GO:0004618	phosphoglycerate kinase activity
GO:0004619	phosphoglycerate mutase activity
GO:0004620	phospholipase activity
GO:0004622	lysophospholipase activity
GO:0004623	phospholipase A2 activity
GO:0004629	phospholipase C activity
GO:0004630	phospholipase D activity
GO:0004631	phosphomevalonate kinase activity
